	Date	Twitter Inc.	Apple Inc.	Facebook Inc.	NVIDIA Corp	Amazon.com Inc	Microsoft Corp
222	2015-07-07	35.52	117.661943577	85.6401	19.5131989135	429.7	43.1060719234
223	2015-07-06	35.43	120.111804982	87.22	19.887883885	436.72	43.1887717567
224	2015-07-02	35.72	123.169232016	87.55	20.1343871558	436.04	43.1595835803
225	2015-07-01	35.4	123.47301483	87.285	20.1146668941	437.71	43.2374187175
226	2015-06-30	36.13	123.904190437	86.91	19.8287231	437.39	42.9552663451
227	2015-06-29	34.21	124.060981567	85.765	19.8385832309	434.09	43.1887717567
228	2015-06-26	35.2401	122.909546707	85.807	20.4548414078	429.86	44.0838758346
229	2015-06-25	35.17	122.032496324	88.01	20.8738969681	438.57	44.4244045599
230	2015-06-24	35.17	124.207973252	87.98	20.7161348748	440.1	44.4000810795
231	2015-06-23	35.37	124.942931673	88.86	20.9231976222	440.84	44.6676393636
232	2015-06-22	35.55	125.540697856	87.88	21.4704348833	445.99	44.9984386968
233	2015-06-19	35.86	124.482357729	84.74	21.5641061262	436.29	44.8524978145
234	2015-06-18	34.66	125.050725575	82.51	21.6232669112	434.92	45.4362613435
235	2015-06-17	34.69	124.060981567	82.905	21.2781623321	439.7	44.7260157165
236	2015-06-16	34.82	125.315310607	81.79	21.0316590613	427.81	44.5898042264
237	2015-06-15	34.67	124.746942761	81.06	20.7752956598	427.26	44.2444108051
238	2015-06-12	35.9	125.040926129	80.71	20.8147361831	423.67	44.7260157165
239	2015-06-11	35.84	124.374563827	81.53	21.3964839021	429.92	45.1832971476
240	2015-06-10	35.85	124.619549968	81.83	21.169700893	432.97	45.3486968142
241	2015-06-09	35.88	126.011071246	82.16	21.5542459954	430.77	44.4146751677
242	2015-06-08	36.46	126.295255169	80.67	21.4457845562	425.48	44.4925103049
243	2015-06-05	37.0	124.864536108	80.67	21.9486512286	423.5	44.8914153831
244	2015-06-04	36.71	125.236915042	82.14	21.7810290045	426.95	45.1336772476
245	2015-06-03	37.0	126.06986792	82.05	21.3964839021	430.78	45.5822022258
246	2015-06-02	36.4	126.765628559	82.44	21.633127042	436.59	45.6503079708
247	2015-06-01	36.63	127.510386426	80.445	22.0669727985	430.99	45.9519191275
248	2015-05-29	36.67	127.353595296	80.29	21.8204695278	430.92	45.6211197944
249	2015-05-28	36.83	127.917063419	79.19	21.8303296586	429.23	46.1659657548
250	2015-05-27	36.41	127.667177556	80.145	21.5345257337	426.57	46.3224143806
251	2015-05-26	36.51	129.137094399	80.55	20.4400512115	431.42	45.3292380299
252	2015-05-22	36.6	129.396779708	79.335	20.5682329123	425.47	45.6308491865
253	2015-05-21	36.68	127.020414145	80.54	20.5978133048	427.65	46.1367775784
254	2015-05-20	36.78	129.881852266	80.48	20.7457152673	431.63	46.2924478528
255	2015-05-19	37.5	128.75491602	80.55	20.7457152673	423.86	46.2924478528
256	2015-05-18	37.28	127.451589752	80.63	20.9724982764	421.71	46.7108117153
257	2015-05-15	37.1	127.461389198	80.88	21.0020786689	425.24	46.9880993916
258	2015-05-14	37.33	127.578982545	80.42	20.992218538	426.0	47.401598558
259	2015-05-13	37.72	126.187461267	81.37	20.6569740898	432.28	46.3362301175
260	2015-05-12	37.48	126.363851288	78.45	20.5386525198	426.87	46.0686718333
